Unnamed: 0,word,root word,root language,second language,ranked languages
5245,inexplicable,inexplicable,French,Latin,French;Latin
5246,infallible,infallible,Latin,,Latin
5247,infant,infant,Latin,,Latin
5248,inference,inference,Latin,,Latin
5249,inferior,,,,
5250,inflamed,inflame,Old French,Latin,Old French;Latin;English
5251,inflection,inflection,French,Latin,French;Latin
5252,influential,influential,Latin,,Latin
5253,influx,influx,French,Latin,French;Latin
5254,informal,,,,
5255,information,information,Old French,Latin,Old French;Latin
5256,informed,inform,Old French,Latin,Old French;Latin
5257,ingenuously,ingenuous,Latin,,Latin
5258,ingratiate,ingratiate,Italian,Latin,Italian;Latin
5259,inhaling,,,,
5260,inherited,inherit,Old French,Latin,Old French;Latin
5261,inheritor,,,,
5262,iniquity,iniquity,Old French,Latin,Old French;Latin
5263,initials,,,,
5264,innocence,innocence,Old French,Latin,Old French;Latin
5265,innocent-looking,,,,
5266,innumerable,innumerable,Latin,,Latin
5267,inordinate,inordinate,Latin,,Latin
5268,inquest,inquest,Old French,Latin,Old French;Latin;Italian
5269,inquired,inquire,Old French,Latin,Old French;Latin
5270,inquiringly,,,,
5271,inquiry,inquiry,Latin,,Latin
5272,inscribed,inscribe,Latin,,Latin
5273,inscription,inscription,Latin,,Latin
5274,inscriptions,,,,
5275,insect,insect,Latin,Greek,Latin;Greek;English;Welsh;Russian
5276,insensitive,,,,
5277,insert,insert,English,Latin,English;Latin
5278,insistence,insistence,French,,French
5279,insistence—,,,,
5280,insistent,insistent,Latin,,Latin
5281,insisting,insist,Latin,,Latin
5282,inspect,inspect,Latin,,Latin
5283,inspector,inspector,Latin,,Latin
5284,instance,instance,Old French,Latin,Old French;Latin;Greek;American English;English
5285,instanter,,,,
5286,instep,instep,Old English,,Old English
5287,instincts,,,,
5288,instrument,instrument,Old French,Latin,Old French;Latin;English
5289,instruments,,,,
5290,insult,insult,French,Latin,French;Latin
5291,insuperable,insuperable,Latin,,Latin
5292,insurance,,,,
5293,intelligence,intelligence,Old French,Latin,Old French;Latin
5294,intemperance,intemperance,French,Latin,French;Latin;English
5295,intemperate,intemperate,Latin,,Latin
5296,intend,intend,Old French,Latin,Old French;Latin;Germanic;Old Norse;Old English;German
5297,intently,intent,Latin,,Latin
5298,interesting,,,,
5299,interlude,interlude,Latin,,Latin
5300,interpreted,interpret,Old French,Latin,Old French;Latin;Sanskrit
5301,interrogation,interrogation,Old French,Latin,Old French;Latin
5302,interrogatively,interrogative,Latin,,Latin
5303,interruption,interruption,Old French,Latin,Old French;Latin
5304,intersected,intersect,Latin,,Latin
5305,intervene,intervene,Latin,,Latin
5306,intimacy,,,,
5307,intimation,intimation,French,Latin,French;Latin
5308,intolerable,intolerable,Latin,,Latin
5309,intonation,intonation,French,Latin,French;Latin
5310,intrigues,,,,
5311,introduce,introduce,Latin,,Latin
5312,introduction,introduction,Old French,Latin,Old French;Latin
5313,intrude,intrude,Latin,,Latin
5314,intruding,,,,
5315,inundated,inundate,Latin,,Latin
5316,invariable,invariable,Old French,Latin,Old French;Latin
5317,invariably,,,,
5318,invented,invent,Latin,,Latin
5319,invention,invention,Old French,Latin,Old French;Latin;English
5320,invidious,invidious,Latin,,Latin
5321,invisible,invisible,Old French,Latin,Old French;Latin
5322,involuntarily,,,,
5323,in——,,,,
5324,iris,iris,Latin,Greek,Latin;Greek;English
5325,irish-looking,,,,
5326,irishtown,,,,
5327,irksome,,,,
5328,ironical,,,,
5329,ironing,,,,
5330,irony,,,,
5331,irregular,,,,
5332,irregularly,,,,
5333,irresolutely,irresolute,Latin,,Latin
5334,irritable,irritable,French,Latin,French;Latin
5335,irritate,irritate,Latin,Old French,Latin;Old French
5336,isles,isle,Old French,Latin,Old French;Latin;English
5337,isolation,isolation,French,,French
5338,issue,issue,Old French,,Old French
5339,issuing,,,,
5340,is——,,,,
5341,italians,,,,
5342,italy,italy,Latin,Greek,Latin;Greek
5343,it—by,,,,
5344,it—not,,,,
5345,ivory,ivory,French,Latin,French;Latin;Old English
5346,ix,,,,
5347,i—,,,,
5348,jacket-coat,,,,
5349,jaded,,,,
5350,jars,,,,
5351,jaws,,,,
5352,jealous,jealous,Old French,Latin,Old French;Latin;Greek
5353,jealously,,,,
5354,jealousy,jealousy,Old French,,Old French
5355,jerks,,,,
5356,jerry,jerry,German,,German
5357,jets,,,,
5358,jewesses,jewess,Old French,,Old French
5359,jews,,,,
5360,jobs,,,,
5361,jog-along,,,,
5362,jokers,,,,
5363,josser,,,,
5364,jostled,,,,
5365,journalism,journalism,French,,French
5366,joviality,joviality,French,,French
5367,joyful,,,,
5368,joyfully,,,,
5369,joys,,,,
5370,judgments,,,,
5371,judiciously,judicious,French,Latin,French;Latin
5372,julia's,,,,
5373,julia's—arrayed,,,,
5374,juliet,juliet,Italian,French,Italian;French
5375,july,july,Old French,Latin,Old French;Latin;Old English
5376,jump,,,,
5377,jumping,,,,
5378,june,june,Latin,Old English,Latin;Old English
5379,junior,junior,Latin,English,Latin;English
5380,juror,juror,Latin,Old French,Latin;Old French
5381,jury,jury,Old French,Latin,Old French;Latin
5382,justifiable,justifiable,Old French,,Old French
5383,jutting,,,,
5384,kavanagh's,,,,
5385,kearneys,,,,
5386,kearneys—musical,,,,
5387,keegan,,,,
5388,keener,,,,
5389,key-board,,,,
5390,keys,,,,
5391,kicked,kick,Old Norse,,Old Norse
5392,kicks,,,,
5393,kid,kid,Old Norse,Germanic,Old Norse;Germanic;German
5394,kilkelly,,,,
5395,killarney,,,,
5396,killed,,,,
5397,kinder,,,,
5398,kindness,kindness,Old English,,Old English
5399,kindred,kindred,Old English,,Old English
5400,kinds,,,,
5401,kingsbridge,,,,
5402,kink,kink,Dutch,French,Dutch;French;Old Norse;American English;English
5403,kirwan,,,,
5404,knack,knack,German,English,German;English
5405,knit,knit,Old English,Old Norse,Old English;Old Norse;German;Germanic
5406,knob,knob,German,Middle Dutch,German;Middle Dutch;Dutch;Old Frisian;Old Norse
5407,knocker,,,,
5408,knocking,knock,Old English,,Old English
5409,knotted,,,,
5410,know—to,,,,
5411,kowtowing,,,,
5412,kramer,,,,
5413,labels,,,,
5414,laborious,laborious,Old French,Latin,Old French;Latin
5415,laboriously,,,,
5416,lacking,lac,French,Latin,French;Latin;Persian;Sanskrit;English
5417,laden,,,,
5418,ladling,lad,English,Old Norse,English;Old Norse
5419,lads,,,,
5420,lager,lager,American English,English,American English;English;German
5421,lakes,lake,Old French,Latin,Old French;Latin;Greek;Slavonic;Old Irish;Germanic;Old Norse;Old English
5422,lamb,lamb,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German
5423,lambabaun,,,,
5424,lame,lame,American English,English,American English;English
5425,lamely,,,,
5426,lamented,,,,
5427,landlady,,,,
5428,landscape,,,,
5429,lanes,lane,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;Old Norse;American English
5430,languages,language,Old French,Latin,Old French;Latin;English
5431,lanterns,,,,
5432,lap,lap,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse
5433,lapsed,lapse,Latin,,Latin
5434,larry,,,,
5435,latchkey,latchkey,American English,English,American English;English
5436,latent,latent,Latin,Greek,Latin;Greek;Slavonic
5437,launched,launch,English,,English
5438,lavatory,lavatory,Latin,,Latin
5439,lavender,lavender,Old French,Latin,Old French;Latin;Italian;English
5440,lawn,,,,
5441,lay-brother,,,,
5442,layman,,,,
5443,lazily,,,,
5444,leaden,leaden,Old English,,Old English
5445,leads,,,,
5446,leaf-shaped,,,,
5447,league,,,,
5448,leap,,,,
5449,leaped,,,,
5450,leaping,lea,Old English,Germanic,Old English;Germanic;German;Sanskrit;Latin
5451,leather-bound,,,,
5452,leech,leech,Old English,Middle Dutch,Old English;Middle Dutch;Dutch
5453,leered,,,,
5454,leghorn,leghorn,Latin,,Latin
5455,legitimate,legitimate,Latin,,Latin
5456,leisure,leisure,Old French,Latin,Old French;Latin
5457,lending,lend,Old English,Dutch,Old English;Dutch;German
5458,lenses,lens,Latin,,Latin
5459,leoville,,,,
5460,lesser,,,,
5461,leverett,,,,
5462,liberalism,,,,
5463,liberated,liberate,Latin,,Latin
5464,libh,,,,
5465,library,library,Old French,Latin,Old French;Latin;Old English
5466,licensed,,,,
5467,lick,,,,
5468,licked,,,,
5469,lid,lid,Old English,Germanic,Old English;Germanic;Old Norse;Old French;Middle Dutch;Dutch;German
5470,lies,,,,
5471,life—and,,,,
5472,life—but,,,,
5473,lift,,,,
5474,light-heartedly,,,,
5475,liking,,,,
5476,limericks,,,,
5477,limit,limit,Old French,Latin,Old French;Latin
5478,limits,,,,
5479,limp,,,,
5480,limped,,,,
5481,lineal,lineal,Old French,Latin,Old French;Latin
5482,linger,linger,Old English,Germanic,Old English;Germanic;Old Frisian;German;Dutch
5483,lingered,linger,Old English,Germanic,Old English;Germanic;Old Frisian;German;Dutch
5484,linked,link,Old Norse,Germanic,Old Norse;Germanic;German;Old English
5485,links,links,Old English,Germanic,Old English;Germanic
5486,lion,lion,Old French,Latin,Old French;Latin;Greek;Germanic;Old English;Old Frisian;Middle Dutch;Dutch;German;Slavonic;Polish;Old Irish;Welsh
5487,lip—a,,,,
5488,liqueurs,,,,
5489,liquid,,,,
5490,listlessly,listless,English,,English
5491,litanies,litany,Old French,Latin,Old French;Latin;Spanish;Italian;Greek
5492,lithia,,,,
5493,littered,,,,
5494,liverpool,liverpool,Old English,,Old English
5495,lizzie,,,,
5496,load,,,,
5497,loans,,,,
5498,loathed,loathe,Old English,Old Saxon,Old English;Old Saxon;Old Norse
5499,lobes,lobe,French,Latin,French;Latin;Greek
5500,locked,lock,Old English,Old Frisian,Old English;Old Frisian;Old Saxon;German;Old Norse
5501,lodgers,,,,
5502,lodging,,,,
5503,loft,,,,
5504,londoner,,,,
5505,loneliness,,,,
5506,longing,longing,Old English,,Old English
5507,looking-glass,,,,
5508,looped,,,,
5509,loophole,loophole,English,Middle Dutch,English;Middle Dutch;Dutch
5510,loosely,,,,
5511,loosen,,,,
5512,loosened,,,,
5513,lordly,lordly,Old English,,Old English
5514,losers,,,,
5515,loud-voiced,,,,
5516,lovers,,,,
5517,low-cut,,,,
5518,lowered,lower,Old English,German,Old English;German;Middle Dutch;Dutch
5519,lucan,,,,
5520,lucrezia,,,,
5521,ludicrous,ludicrous,Latin,,Latin
5522,lumps,,,,
5523,lunch,lunch,Old English,,Old English
5524,lunch-time,,,,
5525,luncheon,luncheon,Spanish,Old English,Spanish;Old English
5526,lunches,lunch,Old English,,Old English
5527,lunch—a,,,,
5528,lurch,,,,
5529,lustre,,,,
5530,lusts,,,,
5531,lutes,lute,Old French,Arabic,Old French;Arabic;Spanish;Italian;Latin
5532,luxuriated,luxuriate,Latin,,Latin
5533,lux—light,,,,
5534,m'coy's,,,,
5535,machinery,machinery,Greek,English,Greek;English
5536,madness,,,,
5537,madonna,madonna,Latin,,Latin
5538,madrigal,madrigal,Italian,Latin,Italian;Latin
5539,magazine,magazine,French,Italian,French;Italian;Arabic;Spanish
5540,magellan,,,,
5541,magic-lantern,,,,
5542,magnificent,magnificent,Old French,Latin,Old French;Latin
5543,magnified,,,,
5544,magniloquent,magniloquent,Latin,,Latin
5545,major,major,French,Latin,French;Latin
5546,majority,majority,French,Latin,French;Latin
5547,maker,,,,
5548,maleficent,maleficent,Latin,,Latin
5549,mall,mall,French,Italian,French;Italian
5550,malodorous,,,,
5551,man-o-war,,,,
5552,manage,manage,Italian,Latin,Italian;Latin;French;English
5553,mangan,,,,
5554,mangan's,,,,
5555,manifest,manifest,Latin,,Latin
5556,manikin,manikin,Dutch,Middle Dutch,Dutch;Middle Dutch
5557,mannerisms,,,,
5558,mannie,,,,
5559,manoeuvres,,,,
5560,mansions,,,,
5561,manuscript,manuscript,Latin,,Latin
5562,marble,,,,
5563,margaret,margaret,Old French,Latin,Old French;Latin;Greek;Sanskrit;Arabic;Germanic;Old English
5564,maritana,,,,
5565,marked,marked,Old English,,Old English
5566,markets,,,,
5567,marlborough,,,,
5568,marred,,,,
5569,married—she,,,,
5570,marrying,marry,Old French,Latin,Old French;Latin;Italian;Spanish;Sanskrit;English;Old Norse
5571,mask,,,,
5572,massey,,,,
5573,masterfully,,,,
5574,masts,,,,
5575,match-sellers,,,,
5576,materials,,,,
5577,maternal,maternal,Old French,Latin,Old French;Latin
5578,mates,,,,
5579,matronly,,,,
5580,maturity,maturity,French,Latin,French;Latin
5581,maynooth,,,,
5582,maze,maze,Old English,,Old English
5583,mccloud,,,,
5584,meagre,meagre,English,,English
5585,meals,,,,
5586,meanwhile,,,,
5587,mechanical,,,,
5588,mechanicians,,,,
5589,mediaeval,,,,
5590,mediocre,mediocre,French,Latin,French;Latin;Greek;Welsh
5591,meditate,meditate,Latin,,Latin
5592,meek,,,,
5593,meekly,,,,
5594,melbourne,melbourne,Old English,,Old English
5595,melodies,melody,Old French,Latin,Old French;Latin;Greek
5596,melodious,melodious,Old French,Latin,Old French;Latin
5597,memoirs,,,,
5598,memoranda,,,,
5599,memory—if,,,,
5600,men's,,,,
5601,menace,menace,Old French,Latin,Old French;Latin;Spanish;Italian
5602,menacingly,,,,
5603,mentally,,,,
5604,mention,mention,Old French,,Old French
5605,mercantile,mercantile,French,Italian,French;Italian;Latin
5606,merchant,merchant,Old French,,Old French
5607,merciful,,,,
5608,merest,,,,
5609,merrily,merrily,Old English,,Old English
5610,merry-making,,,,
5611,mess,mess,American English,English,American English;English
5612,metal,metal,Old French,Latin,Old French;Latin;Greek
5613,methods,,,,
5614,me—eh,,,,
5615,mice,mice,Old English,,Old English
5616,miching,,,,
5617,midday,midday,Old English,German,Old English;German;Old Norse
5618,middle-aged,,,,
5619,midland,,,,
5620,midst,midst,English,,English
5621,mignon,mignon,French,,French
5622,milan,,,,
5623,mildly,mildly,Old English,,Old English
5624,miles,mile,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German;Latin;French;Italian;Spanish;Old Norse
5625,military,,,,
5626,mills,,,,
5627,mimicking,mimic,Latin,Greek,Latin;Greek
5628,mineral,mineral,Old French,Latin,Old French;Latin
5629,mingled,mingle,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Middle Dutch;Dutch
5630,minsters,,,,
5631,minstrels,,,,
5632,mirth,mirth,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch
5633,mirthless,,,,
5634,misdirected,,,,
5635,miserable,miserable,Old French,Latin,Old French;Latin
5636,misgave,,,,
5637,missus,,,,
5638,mistaken,,,,
5639,mistook,,,,
5640,mistresses,mistress,Old French,,Old French
5641,misunderstood,,,,
5642,mite,mite,Middle Dutch,Dutch,Middle Dutch;Dutch;German;Germanic;English;Latin;Greek;French
5643,mitigated,mitigate,Latin,,Latin
5644,mits,,,,
5645,mix,mix,French,Latin,French;Latin;Sanskrit;Greek;Slavonic;Russian;Welsh;Old English
5646,mmmyes,,,,
5647,moaning,,,,
5648,mock,,,,
5649,mockery,mockery,Old French,,Old French
5650,model,model,French,Italian,French;Italian;Latin;German;Dutch
5651,moderately,,,,
5652,modestly,modest,French,Latin,French;Latin
5653,modified,,,,
5654,moistened,moisten,Old French,,Old French
5655,moisture,moisture,Old French,,Old French
5656,molten,molten,Old English,,Old English
5657,moment's,,,,
5658,momentary,momentary,Latin,,Latin
5659,monarch,monarch,French,Latin,French;Latin;Greek
5660,monastery,monastery,Old French,Latin,Old French;Latin;Greek
5661,moneylender,,,,
5662,money—he,,,,
5663,monosyllable,monosyllable,Latin,Greek,Latin;Greek
5664,monotonously,monotonous,Greek,,Greek
5665,moods,,,,
5666,moody,moody,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Old Norse
5667,mooney's,,,,
5668,mooning,,,,
5669,mope,mope,German,Dutch,German;Dutch
5670,moralising,,,,
5671,mornings,,,,
5672,morosely,,,,
5673,morsels,,,,
5674,mother-of-pearl,,,,
5675,motoring,motor,Latin,,Latin
5676,motorists,,,,
5677,mottled,,,,
5678,moulding,mould,English,,English
5679,moulin,,,,
5680,mouthful,,,,
5681,mouthfuls,,,,
5682,movements,,,,
5683,moyle,,,,
5684,mozart,,,,
5685,mucus,mucus,Latin,Greek,Latin;Greek;Sanskrit;Old English
5686,mud,mud,German,Middle Dutch,German;Middle Dutch;Dutch;Germanic;Greek;Old Irish;Polish;Sanskrit;Welsh;English;American English
5687,muddy,,,,
5688,muffled,,,,
5689,muffler,,,,
5690,mulberry,mulberry,German,Latin,German;Latin;Old English;Greek;Irish;Welsh
5691,mumbled,,,,
5692,munching,munch,Old French,Latin,Old French;Latin
5693,munno,,,,
5694,murdered,murder,Old English,Germanic,Old English;Germanic;German
5695,murzka,,,,
5696,muscular,muscular,Latin,,Latin
5697,mused,muse,Old French,,Old French
5698,musha,,,,
5699,music-loving,,,,
5700,musketry,musketry,French,Italian,French;Italian
5701,muslin,muslin,French,Italian,French;Italian;American English;English
5702,muster,muster,Old French,Latin,Old French;Latin;American English;English
5703,mutinous,,,,
5704,mutterings,,,,
5705,mutton,mutton,Old French,Latin,Old French;Latin;Old Irish;Welsh;Italian
5706,mutually,,,,
5707,mysterious,mysterious,Latin,,Latin
5708,mysteriously,mysterious,Latin,,Latin
5709,na'e,,,,
5710,naas,,,,
5711,nabs,,,,
5712,naming,,,,
5713,napkin,napkin,Old French,Latin,Old French;Latin;English
5714,narrowest,,,,
5715,nasal,nasal,French,Latin,French;Latin
5716,nassau,nassau,German,,German
5717,nations,,,,
5718,native,native,Old French,,Old French
5719,naturally,,,,
5720,nausea,nausea,Latin,Greek,Latin;Greek;English
5721,nearest,,,,
5722,nearing,near,Old English,Old Norse,Old English;Old Norse
5723,neatly,neat,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse
5724,necessitous,,,,
5725,necktie,necktie,American English,English,American English;English
5726,needles,,,,
5727,negro,negro,Spanish,Latin,Spanish;Latin;English;French
5728,nephews,,,,
5729,nervousness,,,,
5730,nest,nest,Old English,Germanic,Old English;Germanic;German;Middle Dutch;Dutch;Sanskrit;Latin;Slavonic;Old Irish;Welsh
5731,nettled,,,,
5732,never-to-be-forgotten,,,,
5733,nevertheless,nevertheless,English,,English
5734,new-fangled,,,,
5735,newport,,,,
5736,nieces,niece,Old French,Latin,Old French;Latin;Spanish;Old English;Germanic;Sanskrit;Old Irish;Welsh;German
5737,nietzsche,,,,
5738,night's,,,,
5739,night-boat,,,,
5740,nimbly,,,,
5741,nine-tenths,,,,
5742,nipper,,,,
5743,nix,nix,German,,German
5744,nobility,nobility,Old French,Latin,Old French;Latin
5745,nobleman,,,,
5746,noisiest,,,,
5747,noisily,,,,
5748,nominators,,,,
5749,nonsense,nonsense,French,,French
5750,normal,normal,Latin,French,Latin;French
5751,northern,northern,Old English,German,Old English;German;Old Norse
5752,northward,northward,Old English,,Old English
5753,norwegian,norwegian,Latin,Old Norse,Latin;Old Norse
5754,nostril,nostril,Old English,,Old English
5755,notebook,,,,
5756,noted,,,,
5757,noticeable,,,,
5758,notoriety,notoriety,French,Latin,French;Latin
5759,novel,novel,Old French,Latin,Old French;Latin
5760,novice,novice,Old French,Latin,Old French;Latin
5761,nowadays,nowadays,English,,English
5762,nowhere,nowhere,Old English,,Old English
5763,nudged,,,,
5764,nudges,,,,
5765,numbers,,,,
5766,nuns,,,,
5767,nurses,nurse,Old French,Latin,Old French;Latin;English
5768,nut,nut,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German;Latin;American English
5769,nutcracker,,,,
5770,nutcrackers,,,,
5771,nutmeg,nutmeg,Old French,Latin,Old French;Latin;English;Dutch;German;American English
5772,o'carroll,,,,
5773,o'clohissey,,,,
5774,o'donovan,,,,
5775,o'farrell,,,,
5776,oats,,,,
5777,obdurately,obdurate,Latin,,Latin
5778,obediently,obedient,Old French,Latin,Old French;Latin
5779,obeyed,obey,Old French,Latin,Old French;Latin;Old English
5780,objected,object,Latin,,Latin
5781,objective,objective,French,,French
5782,oblige,oblige,Old French,Latin,Old French;Latin
5783,oblique,oblique,French,Latin,French;Latin
5784,obscenities,obscenity,French,Latin,French;Latin
5785,obscure,obscure,French,Latin,French;Latin
5786,obscurely,obscure,French,Latin,French;Latin
5787,obsequiously,obsequious,French,Latin,French;Latin
5788,observation,observation,Latin,,Latin
5789,observe,observe,Old French,Latin,Old French;Latin
5790,observer,,,,
5791,obstinately,obstinate,Latin,,Latin
5792,obtuse,obtuse,French,Latin,French;Latin;Sanskrit
5793,occasional,,,,
5794,occasions,,,,
5795,occupations,,,,
5796,occupied,,,,
5797,occurred,,,,
5798,occurs,,,,
5799,octave,octave,Old French,Latin,Old French;Latin;English
5800,octaves,octave,Old French,Latin,Old French;Latin;English
5801,october,october,Latin,Old English,Latin;Old English;Russian
5802,odorous,odorous,Latin,,Latin
5803,odours,,,,
5804,offhand,,,,
5805,office-girls,,,,
5806,officer,officer,Old French,Latin,Old French;Latin
5807,offices,office,Old French,Latin,Old French;Latin
5808,official,official,Old French,Latin,Old French;Latin
5809,officials,,,,
5810,officiate,officiate,Latin,,Latin
5811,officiated,officiate,Latin,,Latin
5812,oftener,,,,
5813,of—what,,,,
5814,oil-lamp,,,,
5815,oil-rag,,,,
5816,oily,,,,
5817,oldish,,,,
5818,old—thirty-two,,,,
5819,omadhauns,,,,
5820,ongue,,,,
5821,onlookers,,,,
5822,ooze,ooze,Old English,Germanic,Old English;Germanic;German
5823,open-hearted,,,,
5824,openly,openly,Old English,,Old English
5825,operas,,,,
5826,operatic,,,,
5827,opinions,,,,
5828,opportune,opportune,Old French,Latin,Old French;Latin
5829,opportunities,opportunity,Old French,Latin,Old French;Latin
5830,opposition,opposition,Old French,Latin,Old French;Latin
5831,oppressed,,,,
5832,optimist,optimist,French,,French
5833,option,option,Old French,Latin,Old French;Latin
5834,opulence,opulence,French,Latin,French;Latin
5835,orating,,,,
5836,orator,orator,French,Latin,French;Latin;Sanskrit;Greek
5837,oratory,oratory,Old French,Latin,Old French;Latin
5838,orbit,,,,
5839,orderliness,,,,
5840,orderly,,,,
5841,organ-player,,,,
5842,oriental,,,,
5843,origin,origin,Old French,Latin,Old French;Latin
5844,originally,original,Latin,,Latin
5845,ormond,,,,
5846,ornament,ornament,English,Old French,English;Old French;Latin
5847,orthodox,orthodox,Latin,Greek,Latin;Greek;English
5848,or——s,,,,
5849,otherwise,otherwise,Old English,,Old English
5850,ou,,,,
5851,out-and-out,,,,
5852,out-generalled,,,,
5853,out-of-doors,,,,
5854,outdoor,,,,
5855,outer,outer,Old English,,Old English
5856,outraged,,,,
5857,outright,,,,
5858,outsider,,,,
5859,outsiders,,,,
5860,out——,,,,
5861,overbearing,,,,
5862,overcome,overcome,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German
5863,overflowing,,,,
5864,overhear,overhear,Old English,German,Old English;German;Middle Dutch;Dutch
5865,overheard,,,,
5866,overlook,overlook,English,,English
5867,overnight,,,,
5868,overripe,,,,
5869,overstayed,,,,
5870,owe,owe,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;German;Sanskrit;Latin
5871,owed,owe,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;German;Sanskrit;Latin
5872,ox,ox,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;Old Saxon;German;Welsh;Irish;Sanskrit
5873,oxter,,,,
5874,oysters,,,,
5875,p,,,,
5876,p.l.g,,,,
5877,paced,,,,
5878,pacifically,,,,
5879,pack,pack,French,Latin,French;Latin
5880,packed,pack,French,Latin,French;Latin
5881,padded,,,,
5882,paint,,,,
5883,painters,,,,
5884,palace,palace,Old French,Latin,Old French;Latin;Spanish;Italian;English
5885,palate,palate,Old French,Latin,Old French;Latin
5886,palaver,palaver,Latin,,Latin
5887,paled,pale,Old French,Latin,Old French;Latin
5888,pallid,pallid,Latin,,Latin
5889,palpitated,palpitate,Latin,,Latin
5890,palpitations,,,,
5891,panes,pane,Old French,Latin,Old French;Latin;Greek;Old English
5892,pang,,,,
5893,pangs,,,,
5894,panorama,panorama,Irish,Greek,Irish;Greek
5895,pansy,pansy,French,Latin,French;Latin
5896,pant,,,,
5897,pantomime,,,,
5898,papa,papa,French,Latin,French;Latin;Greek
5899,papal,papal,Old French,Latin,Old French;Latin
5900,paper-covered,,,,
5901,paralytic,paralytic,Old French,Latin,Old French;Latin;Greek
5902,parapets,,,,
5903,parcelled,,,,
5904,parisienne—for,,,,
5905,parkes,,,,
5906,parole,,,,
5907,parsley,parsley,Old English,Old French,Old English;Old French;Latin;Greek
5908,partial,partial,Old French,Latin,Old French;Latin
5909,particularised,,,,
5910,particularly,,,,
5911,particulars,,,,
5912,partnered,,,,
5913,parts,,,,
5914,passes,passe,French,,French
5915,passionately,passionate,Latin,,Latin
5916,passive,passive,Old French,Latin,Old French;Latin
5917,pasted,,,,
5918,patagonians,,,,
5919,patch,patch,French,Old English,French;Old English
5920,patent,,,,
5921,patent-leather,,,,
5922,paths,,,,
5923,patience,patience,Old French,Latin,Old French;Latin
5924,patient,patient,Old French,Latin,Old French;Latin
5925,patiently,patient,Old French,Latin,Old French;Latin
5926,pattered,,,,
5927,patterson,,,,
5928,patting,,,,
5929,pauses,pause,French,Latin,French;Latin
5930,pavement,pavement,Old French,Latin,Old French;Latin
5931,peace-maker,,,,
5932,peacock-blue,,,,
5933,peake,,,,
5934,peaked,,,,
5935,peals,,,,
5936,pearls,,,,
5937,peculiar,peculiar,Latin,,Latin
5938,peeled,peel,American English,English,American English;English
5939,peeping,,,,
5940,peer,peer,Latin,Old French,Latin;Old French
5941,pegs,,,,
5942,pellets,,,,
5943,peloothered,,,,
5944,pencil,,,,
5945,pencilled,,,,
5946,pencils,,,,
5947,pending,pending,French,Latin,French;Latin
5948,penitent,penitent,Old French,Latin,Old French;Latin
5949,pennies,penny,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Latin;American English
5950,penny-piece,,,,
5951,pennyboy,,,,
5952,peony,peony,Old English,French,Old English;French;Latin;Greek
5953,peopled,people,Old French,Latin,Old French;Latin;Spanish;Italian;English;Arabic
5954,pepper,pepper,Old English,,Old English
5955,peppered,pepper,Old English,,Old English
5956,perched,perch,Old French,,Old French
5957,perennial,perennial,English,Latin,English;Latin
5958,perfect,,,,
5959,perform,perform,Old French,English,Old French;English
5960,performed,perform,Old French,English,Old French;English
5961,performing,perform,Old French,English,Old French;English
5962,periods,,,,
5963,perished,perish,Old French,Latin,Old French;Latin
5964,permanently,,,,
5965,perplexed,,,,
5966,perplexity,perplexity,Old French,Latin,Old French;Latin
5967,persia,persia,Latin,Greek,Latin;Greek;Arabic
5968,persistent,persistent,Latin,,Latin
5969,personally,,,,
5970,persuade,persuade,French,Latin,French;Latin
5971,persuaded,persuade,French,Latin,French;Latin
5972,persuasion,persuasion,Old French,Latin,Old French;Latin
5973,persuasively,persuasive,French,Latin,French;Latin
5974,pertly,pert,English,Old French,English;Old French;Latin
5975,perturbation,perturbation,Old French,Latin,Old French;Latin
5976,perturbed,,,,
5977,perverse,perverse,Old French,Latin,Old French;Latin;Old English
5978,petticoats,,,,
5979,philosophically,,,,
5980,philosophy,philosophy,Old French,Latin,Old French;Latin;Greek
5981,phlegm,phlegm,Old French,Latin,Old French;Latin;Greek
5982,photograph—in,,,,
5983,phrasemongers,,,,
5984,physical,,,,
5985,pianist,pianist,French,Italian,French;Italian;English
5986,pianist—but,,,,
5987,piano-stool,,,,
5988,picked,,,,
5989,picking,,,,
5990,picnic,,,,
5991,pier-glass,,,,
5992,pierglass,,,,
5993,piled,pile,American English,English,American English;English
5994,pillars,,,,
5995,piloting,pilot,French,Greek,French;Greek;Latin
