word,word count,root word,root language,second language,ranked languages
laughing,55,,,,
listen,55,listen,Old English,Germanic,Old English;Germanic;Dutch;German;Sanskrit;Persian;Slavonic;Greek;Latin;Old Irish;Welsh
since,55,since,Old English,,Old English
struck,55,,,,
sure,55,sure,Old French,Latin,Old French;Latin;English
together,55,together,Old English,Germanic,Old English;Germanic;German
clerk,54,,,,
fellow,54,fellow,Old English,Old Norse,Old English;Old Norse;American English;Latin;Russian
happened,54,happen,Old English,,Old English
kept,54,,,,
someone,54,,,,
sometimes,54,,,,
used,54,,,,
each,53,each,Old English,Germanic,Old English;Germanic;Dutch;Old Frisian;German;Latin
evening,53,evening,Old English,,Old English
lips,53,lip,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Latin;French
lying,53,,,,
m,53,,,,
nikolay,53,,,,
tea,53,tea,English,Dutch,English;Dutch;French;Spanish;German;Russian;Persian;Greek;Arabic;Turkish
times,53,,,,
afterwards,52,,,,
answer,52,answer,Old English,,Old English
late,52,late,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;Old Saxon;German;Latin;Greek
letter,52,letter,Old French,Latin,Old French;Latin;Greek;Old English;German;Germanic
live,52,live,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Greek;Dutch
need,52,need,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Slavonic;Russian;Polish
pocket,52,pocket,American English,English,American English;English
sir,52,,,,
water,52,water,Old English,,Old English
besides,51,,,,
everyone,51,,,,
light,51,light,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin;Old Irish
minutes,51,minutes,Latin,,Latin
morning,51,morning,Old English,,Old English
poor,51,poor,Latin,,Latin
run,51,run,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;Old Saxon;German;Germanic;American English
set,51,set,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Dutch;German
speaking,51,speak,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Greek
tried,51,,,,
along,50,along,Old English,Germanic,Old English;Germanic
child,50,child,Old English,Germanic,Old English;Germanic;French;Latin
clear,50,,,,
five,50,five,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;Old Norse;German;Sanskrit;Greek;Latin;Slavonic;American English
having,50,ha,Old English,Greek,Old English;Greek;Latin;Old French
observed,50,observe,Old French,Latin,Old French;Latin
read,50,,,,
sitting,50,,,,
sudden,50,sudden,Old French,Latin,Old French;Latin
waiting,50,wait,Old French,German,Old French;German
bed,49,bed,Old English,,Old English
chair,49,,,,
