ranked languages,root language,second language,word,word count
"Latin,French,Greek,Old French",Latin,French,smell,34
,,,smiled,34
,,,—a,34
,,,—it,34
,,,—who,34
,,,bent,33
,,,blind,33
,,,bread,33
,,,brown,33
,,,church,33
,,,died,33
,,,doing,33
,,,felt,33
,,,flynn,33
,,,kennedy,33
,,,kernan,33
"French,Old Norse,Old French,Sanskrit,Norse,Greek,Latin",French,Old Norse,music,33
,,,myles,33
French,French,,number,33
,,,order,33
,,,others,33
"French,Greek,Old French,Latin,Sanskrit,Norse",French,Greek,part,33
French,French,,quickly,33
"German,Old Norse,American English,Greek,Norse,Old French,French,English,Sanskrit,Latin,Germanic",German,Old Norse,sad,33
"Germanic,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Germanic,German,sleep,33
,,,true,33
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse,Germanic",Latin,German,whole,33
French,French,,ago,32
"Norse,Latin,Sanskrit,Old French,French,Old Norse,Greek",Norse,Latin,bright,32
"French,Old French,Latin,Greek",French,Old French,certain,32
"French,Old French,Norse,Sanskrit,Latin,Greek",French,Old French,city,32
"French,Old French",French,Old French,company,32
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Latin,German,dear,32
,,,found,32
,,,halted,32
French,French,,horse,32
"Norse,Sanskrit,Old French,Old Norse,French,Greek,Latin",Norse,Sanskrit,rest,32
,,,somewhere,32
French,French,,touch,32
"Old French,French,Latin,Greek",Old French,French,twice,32
,,,wants,32
"German,Old Norse,Germanic,Sanskrit,Norse,Old French,French,Latin,Greek,English",German,Old Norse,write,32
,,,—there,32
,,,added,31
"English,American English,Germanic,Old Norse,Norse,Old French,French,Greek,German,Sanskrit,Latin",English,American English,arm,31
French,French,,beside,31
,,,drew,31
,,,flower,31
French,French,,friend,31
"Norse,Old French,Old Norse,French,Greek,Sanskrit,Latin",Norse,Old French,lane,31
,,,mary,31
"Old Norse,Greek,Sanskrit,Old French,French,German,Latin,Norse,English,Germanic",Old Norse,Greek,room,31
,,,sat,31
French,French,,silent,31
"Germanic,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Germanic,German,speak,31
,,,suddenly,31
