word,word count,root word,root language,second language,ranked languages
kingdom,16,kingdom,Old English,Old Saxon,Old English;Old Saxon;Middle Dutch;Dutch;Old Norse
laid,16,,,,
lands,16,land,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Old Irish;Welsh;French;Slavonic;American English
limited,16,,,,
mad-men,16,,,,
merit,16,merit,Old French,Latin,Old French;Latin;Greek
obtain,16,obtain,French,Latin,French;Latin
penalty,16,penalty,French,Latin,French;Latin
publiquely,16,,,,
sayd,16,,,,
scope,16,,,,
secret,16,secret,Latin,French,Latin;French
send,16,send,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Middle Dutch;Dutch;American English
simply,16,,,,
solomon,16,solomon,Greek,Arabic,Greek;Arabic;Spanish
something,16,something,Old English,,Old English
states,16,state,Latin,,Latin
strong,16,strong,Old English,,Old English
sun,16,sun,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;German;Middle Dutch;Dutch;Old Irish;Spanish
told,16,told,Old English,,Old English
transferre,16,,,,
universities,16,university,Old French,Latin,Old French;Latin;Spanish;German;Russian
voyd,16,,,,
accused,15,,,,
anothers,15,another,Old English,,Old English
antichrist,15,antichrist,Latin,Greek,Latin;Greek
apparent,15,apparent,Old French,Latin,Old French;Latin
apparition,15,apparition,Old French,Latin,Old French;Latin
apparitions,15,apparition,Old French,Latin,Old French;Latin
appeared,15,appear,Old French,Latin,Old French;Latin
asked,15,ask,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Slavonic
assembled,15,assemble,Old French,Latin,Old French;Latin;English
assured,15,,,,
capable,15,capable,French,Latin,French;Latin;Sanskrit;Greek;Old Irish;Welsh;Old English
conquered,15,conquer,Old French,Latin,Old French;Latin
consecration,15,consecration,Latin,,Latin
conservation,15,conservation,French,English,French;English
consist,15,consist,French,Latin,French;Latin
contradiction,15,contradiction,Old French,Latin,Old French;Latin
determine,15,determine,Old French,Latin,Old French;Latin
direct,15,direct,Latin,,Latin
dispute,15,dispute,Old French,Latin,Old French;Latin
emperour,15,,,,
emperours,15,,,,
essentiall,15,,,,
faculty,15,faculty,Old French,Latin,Old French;Latin;English
fairies,15,fairy,Old French,Latin,Old French;Latin;English
forced,15,,,,
hereafter,15,hereafter,Old English,,Old English
imagine,15,imagine,Old French,Latin,Old French;Latin
immortall,15,,,,
inclination,15,inclination,French,Latin,French;Latin
inheritance,15,inheritance,Old French,,Old French
kept,15,,,,
libertie,15,,,,
lose,15,lose,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Greek;Latin;American English
maintain,15,maintain,Old French,Latin,Old French;Latin
maintained,15,maintain,Old French,Latin,Old French;Latin
offices,15,office,Old French,Latin,Old French;Latin
pact,15,pact,Old French,Latin,Old French;Latin;Sanskrit;Greek;Slavonic;Old English
parents,15,parent,Old French,Latin,Old French;Latin
plain,15,plain,Old French,Latin,Old French;Latin;Dutch;English
pray,15,pray,Old French,Latin,Old French;Latin;Italian;Sanskrit;Slavonic;German;Old English
prayers,15,prayer,Old French,Latin,Old French;Latin
propounded,15,propound,English,Latin,English;Latin
putting,15,put,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;Old Norse
quantity,15,quantity,Old French,Latin,Old French;Latin;Greek;Italian;Spanish;German
reasonable,15,reasonable,Old French,Latin,Old French;Latin
repentance,15,repentance,Old French,,Old French
revenue,15,revenue,Old French,Latin,Old French;Latin
risen,15,risen,Old English,,Old English
saving,15,,,,
sign,15,sign,Old French,Latin,Old French;Latin
sit,15,sit,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;American English
supremacy,15,supremacy,Latin,,Latin
terrour,15,,,,
thereto,15,thereto,Old English,Old Saxon,Old English;Old Saxon;German
transgression,15,transgression,Old French,Latin,Old French;Latin
victor,15,victor,Old French,Latin,Old French;Latin;Slavonic;Old Norse;Old English;Welsh;Old Irish
young,15,young,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
20,14,,,,
abuse,14,abuse,Old French,Latin,Old French;Latin;English
actor,14,actor,Latin,,Latin
alive,14,alive,Old English,,Old English
apart,14,apart,Old French,Latin,Old French;Latin
approve,14,approve,Old French,Latin,Old French;Latin
approved,14,approve,Old French,Latin,Old French;Latin
articles,14,article,Old French,Latin,Old French;Latin
became,14,,,,
bible,14,,,,
blessed,14,,,,
bounds,14,,,,
brethren,14,,,,
carry,14,,,,
conformable,14,,,,
consecrated,14,consecrate,Latin,,Latin
continuall,14,,,,
corporeall,14,,,,
delight,14,delight,Old French,Latin,Old French;Latin
depose,14,depose,Old French,,Old French
deposed,14,depose,Old French,,Old French
designes,14,design,French,Italian,French;Italian;Latin
directly,14,,,,
diseases,14,disease,Old French,English,Old French;English
disobedience,14,disobedience,Old French,Latin,Old French;Latin;English
disobey,14,disobey,Old French,Latin,Old French;Latin
ecclesiastiques,14,,,,
elected,14,elect,Latin,,Latin
enclined,14,,,,
equality,14,equality,Old French,Latin,Old French;Latin;English
erroneous,14,erroneous,Old French,Latin,Old French;Latin
error,14,error,Old French,Latin,Old French;Latin;Greek;Old Norse;Sanskrit;Irish
events,14,event,French,Latin,French;Latin
families,14,family,Latin,Old English,Latin;Old English;Old Norse;German
forbid,14,forbid,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse
full,14,full,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
gathered,14,gather,Old English,Germanic,Old English;Germanic;German;Old Frisian;Dutch
happen,14,happen,Old English,,Old English
idols,14,idol,Old French,Latin,Old French;Latin;Greek;English
intended,14,intend,Old French,Latin,Old French;Latin;Germanic;Old Norse;Old English;German
invention,14,invention,Old French,Latin,Old French;Latin;English
job,14,,,,
jure,14,,,,
keeping,14,keep,Old English,Germanic,Old English;Germanic;Latin
kingdomes,14,kingdom,Old English,Old Saxon,Old English;Old Saxon;Middle Dutch;Dutch;Old Norse
knew,14,knew,Old English,,Old English
legislative,14,,,,
