word,word count,root word,root language,second language,ranked languages
will,206,will,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Welsh
nature,204,nature,Old French,Latin,Old French;Latin
people,204,people,Old French,Latin,Old French;Latin;Spanish;Italian;English;Arabic
society,202,society,Old French,Latin,Old French;Latin
state,195,state,Latin,,Latin
law,188,law,Old English,Old Norse,Old English;Old Norse;Germanic;Latin;German
if,184,if,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Dutch
when,182,when,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
other,176,other,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin
such,175,such,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
there,172,there,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old Norse;Sanskrit
an,171,an,Old English,French,Old English;French;German
laws,169,law,Old English,Old Norse,Old English;Old Norse;Germanic;Latin;German
was,165,was,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit
those,161,those,Old English,,Old English
into,153,into,Old English,American English,Old English;American English
what,150,what,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Latin
on,148,on,Old English,Germanic,Old English;Germanic;Dutch;German;Greek;Latin;Slavonic
legislative,143,,,,
at,140,at,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Latin;Sanskrit;Dutch
own,140,own,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German
s,140,,,,
than,140,than,Old English,Germanic,Old English;Germanic;Dutch;German
had,134,,,,
only,134,only,Old English,German,Old English;German;Latin;Greek
over,131,over,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
where,129,where,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin
himself,128,himself,Old English,,Old English
another,125,another,Old English,,Old English
without,123,without,Old English,,Old English
every,121,every,Old English,,Old English
force,121,force,Old French,,Old French
themselves,120,themselves,Old English,,Old English
made,119,made,Old English,American English,Old English;American English
upon,118,upon,Old English,Old Norse,Old English;Old Norse
under,115,under,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Sanskrit;Latin
make,112,make,Old English,Germanic,Old English;Germanic
property,106,property,Old French,Latin,Old French;Latin;Greek;English
should,106,should,Old English,,Old English
shall,104,shall,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
hath,102,,,,
were,101,were,Old English,,Old English
more,100,more,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Old Irish;Welsh;Greek
common,98,common,English,Latin,English;Latin
good,97,good,Old English,,Old English
war,97,war,Old English,Old French,Old English;Old French;Germanic;Old Saxon;German;Spanish;Italian;Latin
consent,96,consent,Old French,,Old French
up,96,up,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;Dutch;German;Sanskrit;Greek;Latin
part,95,part,Old French,Latin,Old French;Latin;Greek;Sanskrit;American English;Old English
yet,95,yet,Old English,Old Frisian,Old English;Old Frisian;German;Germanic
much,92,much,Old English,Germanic,Old English;Germanic
authority,91,authority,Old French,Latin,Old French;Latin;English
children,91,,,,
use,91,use,Old French,Old English,Old French;Old English
do,89,do,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
life,89,life,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German
reason,89,reason,Old French,Latin,Old French;Latin;Old English
we,87,we,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic
father,86,,,,
body,85,body,Old English,German,Old English;German;Germanic;Latin;French
would,80,would,Old English,,Old English
could,77,could,Old English,,Old English
commonwealth,75,,,,
liberty,75,liberty,Old French,Latin,Old French;Latin
must,75,must,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Dutch
some,75,some,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;American English
though,75,though,Old English,Old Norse,Old English;Old Norse;Germanic;Old Frisian;Middle Dutch;Dutch;German
take,73,take,Old English,Old Norse,Old English;Old Norse;Germanic;German;Middle Dutch;Dutch
first,72,first,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian;Middle Dutch;Dutch
nor,72,nor,English,,English
same,71,same,Old English,Old Norse,Old English;Old Norse;Germanic;Old Saxon;German;Dutch;Sanskrit;Greek;Latin;Old Irish;Slavonic
against,69,,,,
therefore,69,therefore,Old English,Dutch,Old English;Dutch;German
hands,68,hand,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
